city,country,year,city,country,avg_temp
Riyadh,Saudi Arabia,1957,Riyadh,Saudi Arabia,24.69
Riyadh,Saudi Arabia,1958,Riyadh,Saudi Arabia,25.64
Riyadh,Saudi Arabia,1959,Riyadh,Saudi Arabia,24.14
Riyadh,Saudi Arabia,1960,Riyadh,Saudi Arabia,25.67
Riyadh,Saudi Arabia,1961,Riyadh,Saudi Arabia,25.12
Riyadh,Saudi Arabia,1962,Riyadh,Saudi Arabia,26.10
Riyadh,Saudi Arabia,1963,Riyadh,Saudi Arabia,25.54
Riyadh,Saudi Arabia,1964,Riyadh,Saudi Arabia,25.14
Riyadh,Saudi Arabia,1965,Riyadh,Saudi Arabia,25.59
Riyadh,Saudi Arabia,1966,Riyadh,Saudi Arabia,26.16
Riyadh,Saudi Arabia,1967,Riyadh,Saudi Arabia,24.87
Riyadh,Saudi Arabia,1968,Riyadh,Saudi Arabia,25.21
Riyadh,Saudi Arabia,1969,Riyadh,Saudi Arabia,26.05
Riyadh,Saudi Arabia,1970,Riyadh,Saudi Arabia,25.84
Riyadh,Saudi Arabia,1971,Riyadh,Saudi Arabia,24.93
Riyadh,Saudi Arabia,1972,Riyadh,Saudi Arabia,24.74
Riyadh,Saudi Arabia,1973,Riyadh,Saudi Arabia,25.60
Riyadh,Saudi Arabia,1974,Riyadh,Saudi Arabia,25.40
Riyadh,Saudi Arabia,1975,Riyadh,Saudi Arabia,25.04
Riyadh,Saudi Arabia,1976,Riyadh,Saudi Arabia,24.97
Riyadh,Saudi Arabia,1977,Riyadh,Saudi Arabia,25.99
Riyadh,Saudi Arabia,1978,Riyadh,Saudi Arabia,25.95
Riyadh,Saudi Arabia,1979,Riyadh,Saudi Arabia,26.20
Riyadh,Saudi Arabia,1980,Riyadh,Saudi Arabia,25.83
Riyadh,Saudi Arabia,1981,Riyadh,Saudi Arabia,25.95
Riyadh,Saudi Arabia,1982,Riyadh,Saudi Arabia,24.62
Riyadh,Saudi Arabia,1983,Riyadh,Saudi Arabia,24.85
Riyadh,Saudi Arabia,1984,Riyadh,Saudi Arabia,25.05
Riyadh,Saudi Arabia,1985,Riyadh,Saudi Arabia,25.30
Riyadh,Saudi Arabia,1986,Riyadh,Saudi Arabia,25.36
Riyadh,Saudi Arabia,1987,Riyadh,Saudi Arabia,26.37
Riyadh,Saudi Arabia,1988,Riyadh,Saudi Arabia,25.99
Riyadh,Saudi Arabia,1989,Riyadh,Saudi Arabia,25.05
Riyadh,Saudi Arabia,1990,Riyadh,Saudi Arabia,25.70
Riyadh,Saudi Arabia,1991,Riyadh,Saudi Arabia,25.43
Riyadh,Saudi Arabia,1992,Riyadh,Saudi Arabia,24.37
Riyadh,Saudi Arabia,1993,Riyadh,Saudi Arabia,25.42
