Row Labels,Sum of avg_temp,Sum of avg_temp-c
(blank),9.51,
2013,9.61,
(blank),9.61,
2014,9.57,
(blank),9.57,
2015,9.83,
(blank),9.83,
(blank),,
(blank),,
Grand Total,2226.28,4261.19
